creditcard,zipcode,age,gender,salary,rango_edad,clasificacion_salario
5523562808347047,55767,75,Male,4600,60+,Bajo
5320904534282756,55883,61,Female,1400,60+,Bajo
5320687119760318,55585,63,Female,9500,60+,Alto
5286253331607407,55433,55,Female,4200,51-60,Bajo
5391790317917732,55560,60,Male,2700,51-60,Bajo
5330558649679799,55313,83,Male,2900,60+,Bajo
5558837804452969,55518,94,Male,5000,60+,Medio
5202057779043095,55026,100,Male,6700,60+,Medio
5514321286806029,55850,37,Female,8700,31-40,Alto
5206849634669387,55824,59,Male,3200,51-60,Bajo
5113047243495078,55446,88,Male,4500,60+,Bajo
5194224219587194,55041,65,Female,2700,60+,Bajo
5321659699482620,55811,68,Female,9700,60+,Alto
5521762728952445,55937,91,Male,8200,60+,Alto
5290286661285794,55048,63,Female,4800,60+,Bajo
5269647443057636,55437,26,Female,8500,18-30,Alto
5397938416201623,55196,88,Female,3300,60+,Bajo
5517631113835679,55933,79,Female,1200,60+,Bajo
5161379518621281,55041,99,Male,3500,60+,Bajo
5245500962563550,55494,26,Female,3500,18-30,Bajo
5598258268491033,55022,31,Male,9100,31-40,Alto
5517323114653059,55246,42,Male,3000,41-50,Bajo
5373181482288459,55686,79,Male,2600,60+,Bajo
5209079826597256,55364,30,Male,8200,18-30,Alto
5101498727321070,55757,18,Female,6600,,Medio
5226060131335938,55439,88,Male,4400,60+,Bajo
5483792860441150,55508,93,Male,2300,60+,Bajo
5521615022615102,55604,68,Male,3600,60+,Bajo
5326940196311289,55678,26,Male,1200,18-30,Bajo
5399441842980124,55932,75,Female,4000,60+,Bajo
5338275932765670,55574,27,Female,6300,18-30,Medio
5238163314068833,55839,51,Female,6200,51-60,Medio
5255974777644920,55235,55,Female,7100,51-60,Medio
5572998809261201,55964,49,Female,1800,41-50,Bajo
5331706430213596,55134,46,Male,7100,41-50,Medio
5589443496828542,55679,69,Female,1300,60+,Bajo
5476540798029848,55948,79,Male,6100,60+,Medio
5238601510452517,55296,46,Female,5600,41-50,Medio
5120768496805686,55317,100,Male,2200,60+,Bajo
5499290478343845,55337,42,Male,4100,41-50,Bajo
5538700522015937,55060,20,Male,1800,18-30,Bajo
5507870518416394,55114,43,Male,9700,41-50,Alto
5560408353121938,55904,40,Male,8400,31-40,Alto
5339946166907167,55349,66,Male,4800,60+,Bajo
5541334406525590,55697,87,Female,3800,60+,Bajo
5536732578073553,55167,56,Male,1100,51-60,Bajo
5384680862435207,55851,93,Female,1400,60+,Bajo
5336613318145103,55612,88,Female,3400,60+,Bajo
5179104295013571,55176,25,Female,8100,18-30,Alto
5465115603528467,55716,77,Female,3000,60+,Bajo
5439760404555426,55581,63,Male,4300,60+,Bajo
5202663657008652,55943,83,Male,6800,60+,Medio
5235505187070309,55635,35,Male,1100,31-40,Bajo
5589187077985243,55812,66,Male,1200,60+,Bajo
5320026354804590,55185,83,Male,9500,60+,Alto
5255832562806023,55866,93,Female,8900,60+,Alto
5188981372876171,55776,72,Male,2000,60+,Bajo
5133044384683675,55910,34,Male,800,31-40,Bajo
5441358968103059,55333,50,Male,9000,41-50,Alto
5102929367432594,55531,41,Male,3500,41-50,Bajo
5232673835547806,55152,76,Male,6100,60+,Medio
5228496576014695,55896,83,Female,7500,60+,Medio
5200872015772626,55862,52,Female,7500,51-60,Medio
5241160950170639,55533,27,Male,8800,18-30,Alto
5142484869184238,55537,73,Female,4100,60+,Bajo
5254042240569669,55763,93,Male,1700,60+,Bajo
5284666017315874,55964,45,Male,4700,41-50,Bajo
5262594779520513,55823,81,Male,4500,60+,Bajo
5129912815872388,55749,20,Male,5500,18-30,Medio
5500945375844974,55033,66,Female,7500,60+,Medio
5212195642609599,55339,73,Male,5500,60+,Medio
5243125642830310,55901,93,Female,7500,60+,Medio
5237023795697032,55140,98,Female,5500,60+,Medio
5420235632621580,55822,33,Male,1000,31-40,Bajo
5428965579560654,55521,92,Female,8000,60+,Alto
5585184511392676,55444,88,Male,6000,60+,Medio
5282876440236496,55264,25,Male,600,18-30,Bajo
5580749878538940,55779,67,Male,3200,60+,Bajo
5543763843568433,55272,91,Male,9100,60+,Alto
5492660096708073,55905,70,Female,2600,60+,Bajo
5438545835708616,55487,21,Male,3600,18-30,Bajo
5512589524618412,55680,32,Male,9600,31-40,Alto
5344712265753792,55700,60,Female,9500,51-60,Alto
5491100857254307,55863,22,Female,6400,18-30,Medio
5560264366239872,55514,43,Female,3700,41-50,Bajo
5274335684886557,55023,35,Male,2100,31-40,Bajo
5318087814304435,55752,57,Female,1700,51-60,Bajo
5249364342651965,55930,43,Male,9000,41-50,Alto
5503497167337178,55890,98,Male,1500,60+,Bajo
5248543660968231,55068,35,Female,8300,31-40,Alto
5447882819293870,55531,47,Male,3300,41-50,Bajo
5140062288532864,55266,18,Female,5200,,Medio
5436567999659635,55463,63,Male,2400,60+,Bajo
5281205665972588,55917,70,Male,7700,60+,Medio
5377302437070877,55724,33,Male,7400,31-40,Medio
5424811868965705,55690,79,Female,3200,60+,Bajo
5321772490775900,55051,18,Male,7700,,Medio
5455378001205441,55277,66,Female,200,60+,Bajo
5508065563646180,55229,52,Male,6400,51-60,Medio
5467525027318071,55856,57,Female,900,51-60,Bajo
5470973663931259,55147,57,Female,1900,51-60,Bajo
5279041351656779,55586,26,Male,9300,18-30,Alto
5594904631523762,55649,91,Female,3900,60+,Bajo
5463366293066282,55043,43,Female,2400,41-50,Bajo
5333768552091869,55896,93,Male,6800,60+,Medio
5558292066247477,55659,24,Male,7500,18-30,Medio
5475480050565489,55884,67,Female,8500,60+,Alto
5121557568347548,55772,64,Female,9400,60+,Alto
5243495311011488,55436,31,Female,1500,31-40,Bajo
5223469657257090,55536,33,Female,1700,31-40,Bajo
5263998877517553,55704,46,Male,1900,41-50,Bajo
5510794214490393,55525,19,Female,6800,18-30,Medio
5324924984779859,55063,44,Male,4400,41-50,Bajo
5157328240596804,55344,25,Female,6400,18-30,Medio
5148234499441506,55019,48,Female,1300,41-50,Bajo
5570327893905683,55826,68,Female,8300,60+,Alto
5549628115984879,55099,30,Female,5600,18-30,Medio
5187141589924055,55495,97,Female,5400,60+,Medio
5103782298476860,55070,56,Male,6900,51-60,Medio
5593853328858141,55884,41,Male,3200,41-50,Bajo
5582501035859877,55009,69,Female,2000,60+,Bajo
5498637667997230,55895,35,Female,9500,31-40,Alto
5573350117744263,55885,23,Male,1600,18-30,Bajo
5378581661015224,55939,85,Male,9800,60+,Alto
5527733980848336,55504,68,Male,8400,60+,Alto
5423146717617186,55300,27,Male,3600,18-30,Bajo
5477103193722308,55031,89,Female,9000,60+,Alto
5554148713764112,55169,92,Female,4200,60+,Bajo
5438962986737221,55875,47,Male,5800,41-50,Medio
5441985322017904,55854,27,Female,6800,18-30,Medio
5476024845933773,55590,40,Female,2200,31-40,Bajo
5409283975842483,55933,35,Male,2300,31-40,Bajo
5442525128891307,55928,67,Male,6500,60+,Medio
5317048843621893,55213,73,Female,2900,60+,Bajo
5184087597183825,55394,67,Female,9800,60+,Alto
5572571562722204,55514,21,Male,100,18-30,Bajo
5301488983092471,55823,24,Male,7700,18-30,Medio
5581782486310062,55855,22,Female,7900,18-30,Medio
5336869111098192,55786,93,Male,5500,60+,Medio
5426572512032346,55931,57,Female,800,51-60,Bajo
5462799709149329,55905,42,Male,9800,41-50,Alto
5585207042274475,55754,81,Male,3700,60+,Bajo
5139366037942941,55699,19,Female,4700,18-30,Bajo
5507616808006951,55883,59,Female,1700,51-60,Bajo
5420930913415930,55718,83,Male,1600,60+,Bajo
5304669720654767,55624,75,Male,9300,60+,Alto
5447325431061465,55333,74,Female,7100,60+,Medio
5170683282415195,55222,25,Female,5300,18-30,Medio
5443004350861338,55537,69,Male,9400,60+,Alto
5253433322519022,55749,24,Female,7600,18-30,Medio
5410926057372038,55493,87,Female,400,60+,Bajo
5452303872689260,55912,43,Female,2000,41-50,Bajo
5159349934095950,55207,24,Female,9500,18-30,Alto
5503151343634939,55600,23,Female,4600,18-30,Bajo
5531206286920673,55002,98,Female,2100,60+,Bajo
5324685441563679,55626,91,Female,1100,60+,Bajo
5469145511670107,55822,30,Male,6800,18-30,Medio
5344808768117327,55708,34,Female,5300,31-40,Medio
5500844224374574,55442,41,Male,6400,41-50,Medio
5137190098047446,55962,60,Female,1900,51-60,Bajo
5196007627102245,55872,20,Male,4200,18-30,Bajo
5244382253318304,55170,83,Female,9700,60+,Alto
5309929287368572,55046,47,Male,900,41-50,Bajo
5165989625771898,55679,86,Female,9000,60+,Alto
5541756027602657,55868,64,Male,1100,60+,Bajo
5176627257417979,55641,87,Male,100,60+,Bajo
5232946624137538,55052,69,Male,6500,60+,Medio
5100629056438751,55042,47,Female,9800,41-50,Alto
5322848059458754,55765,98,Female,400,60+,Bajo
5260572599103647,55987,24,Male,500,18-30,Bajo
5328437736056100,55833,85,Male,900,60+,Bajo
5145370792451827,55925,77,Female,8100,60+,Alto
5441019652976529,55873,65,Male,8800,60+,Alto
5546346385846305,55142,100,Male,5000,60+,Medio
5476006780085917,55538,81,Female,7700,60+,Medio
5155935590573571,55316,79,Female,5600,60+,Medio
5154086733594750,55278,40,Male,1700,31-40,Bajo
5540733429216700,55434,88,Female,8100,60+,Alto
5478870248720631,55333,86,Female,1600,60+,Bajo
5446262239835777,55452,52,Female,7500,51-60,Medio
5241013679527482,55556,41,Female,6500,41-50,Medio
5423457494816200,55387,61,Female,4600,60+,Bajo
5547753167539488,55665,30,Female,9500,18-30,Alto
5299554032072592,55304,35,Female,7100,31-40,Medio
5520865078478449,55314,53,Male,5400,51-60,Medio
5184443868477422,55583,72,Female,8200,60+,Alto
5364077604341922,55549,43,Male,6100,41-50,Medio
5543393055479861,55751,61,Male,4800,60+,Bajo
5139212703486435,55726,55,Male,7200,51-60,Medio
5101966152747688,55589,18,Female,4600,,Bajo
5530946003393412,55013,90,Male,6800,60+,Medio
5347177913396559,55379,28,Female,9600,18-30,Alto
5573402150533234,55968,60,Male,4500,51-60,Bajo
5232270104319338,55587,33,Male,8200,31-40,Alto
5572266252477165,55954,42,Female,1200,41-50,Bajo
5261981784289682,55979,83,Female,2900,60+,Bajo
5154811967441398,55038,73,Male,5200,60+,Medio
5332859710169746,55114,29,Male,5600,18-30,Medio
5554792884000804,55774,68,Female,5800,60+,Medio
5299139684830313,55262,86,Female,9400,60+,Alto
5518946687456317,55615,34,Male,1000,31-40,Bajo
5346208917654742,55945,65,Female,8400,60+,Alto
5200142920541924,55232,47,Female,2700,41-50,Bajo
5389888040391698,55443,37,Male,6300,31-40,Medio
5511760677158321,55265,33,Female,9700,31-40,Alto
5322548960485702,55962,25,Female,6100,18-30,Medio
5246266944629831,55250,27,Female,2100,18-30,Bajo
5206768406436835,55683,73,Female,1000,60+,Bajo
5212221426315359,55880,60,Male,2500,51-60,Bajo
5406488649216468,55015,85,Female,5800,60+,Medio
5258194644582438,55109,39,Female,9300,31-40,Alto
5532791155981327,55720,32,Female,7600,31-40,Medio
5103943067578480,55486,63,Male,400,60+,Bajo
5501599495953543,55843,56,Female,2900,51-60,Bajo
5320561316483257,55838,97,Male,7500,60+,Medio
5399273681622842,55183,62,Male,2900,60+,Bajo
5227798469849041,55345,92,Female,9300,60+,Alto
5245985138182213,55523,81,Female,6500,60+,Medio
5128093014233101,55164,86,Male,2800,60+,Bajo
5327473992497556,55539,48,Female,9100,41-50,Alto
5184529533031881,55471,22,Female,4100,18-30,Bajo
5380138371450427,55340,33,Male,8300,31-40,Alto
5593250123907639,55075,99,Female,7600,60+,Medio
5588865486169795,55962,71,Female,2900,60+,Bajo
5309762099231864,55347,49,Male,5400,41-50,Medio
5399721894764702,55382,42,Female,8000,41-50,Alto
5341933371533109,55724,53,Female,7400,51-60,Medio
5135040775496618,55464,24,Female,8200,18-30,Alto
5512508187246774,55934,52,Female,900,51-60,Bajo
5201810792425694,55091,100,Female,3400,60+,Bajo
5583970744100544,55702,62,Female,200,60+,Bajo
5547037213891394,55007,58,Female,1000,51-60,Bajo
5312037633429562,55038,18,Male,5700,,Medio
5259919183289055,55929,65,Female,8300,60+,Alto
5245274997542464,55864,25,Male,4300,18-30,Bajo
5478201957735877,55127,71,Male,2400,60+,Bajo
5260692229720360,55105,68,Male,2400,60+,Bajo
5287593284914774,55632,38,Male,700,31-40,Bajo
5348745479900169,55702,42,Female,8700,41-50,Alto
5324523465529047,55298,36,Male,7800,31-40,Medio
5121931635633026,55378,74,Female,6600,60+,Medio
5416693833913212,55065,86,Female,2300,60+,Bajo
5409121163504475,55576,36,Male,9600,31-40,Alto
5256339167436361,55985,88,Male,9100,60+,Alto
5504194507493626,55877,32,Male,4700,31-40,Bajo
5286797218818644,55730,29,Female,7700,18-30,Medio
5138932229002512,55378,35,Female,6500,31-40,Medio
5227247224946320,55974,97,Male,2100,60+,Bajo
5230945539480563,55105,94,Female,5400,60+,Medio
5406213948417108,55092,52,Male,200,51-60,Bajo
5169311227050736,55345,61,Female,9200,60+,Alto
5410876173478963,55478,75,Female,2900,60+,Bajo
5593626699519009,55088,81,Male,6200,60+,Medio
5157687900632278,55715,40,Male,8300,31-40,Alto
5492256342135698,55278,28,Female,1000,18-30,Bajo
5187908464402120,55916,37,Female,2300,31-40,Bajo
5271772840730472,55497,34,Female,7400,31-40,Medio
5403145874280311,55467,61,Female,1400,60+,Bajo
5230788271619695,55305,68,Male,7700,60+,Medio
5556574783973994,55524,67,Male,8100,60+,Alto
5375859060796864,55389,60,Female,7600,51-60,Medio
5511423078173163,55154,88,Male,2800,60+,Bajo
5105949055254479,55553,71,Female,6200,60+,Medio
5314592792449304,55143,92,Female,3700,60+,Bajo
5275806233382016,55628,80,Male,1700,60+,Bajo
5456259045557063,55110,73,Male,4300,60+,Bajo
5442056245354102,55361,35,Male,4200,31-40,Bajo
5537578846389860,55696,47,Female,6200,41-50,Medio
5396930945670213,55578,86,Female,5500,60+,Medio
5365364319476162,55278,23,Female,6800,18-30,Medio
5122377511690491,55891,79,Male,4800,60+,Bajo
5425170452202309,55577,73,Female,2100,60+,Bajo
5193759102665822,55980,61,Male,1600,60+,Bajo
5416682237242344,55320,63,Male,8200,60+,Alto
5363435945905212,55691,86,Male,1600,60+,Bajo
5104006338696280,55463,27,Female,2000,18-30,Bajo
5237059004313219,55368,32,Male,6200,31-40,Medio
5312037633429562,55534,48,Female,6900,41-50,Medio
5477580026199236,55002,93,Female,6000,60+,Medio
5249231981980965,55868,59,Female,1600,51-60,Bajo
5486330922389609,55744,22,Female,6700,18-30,Medio
5550700841392812,55456,49,Female,3200,41-50,Bajo
5244027538118058,55915,72,Male,7400,60+,Medio
5188445398747717,55855,56,Female,8500,51-60,Alto
5482706363486554,55427,87,Female,700,60+,Bajo
5391054764640325,55600,81,Female,1700,60+,Bajo
5342140519111603,55440,45,Female,400,41-50,Bajo
5422374375955604,55056,58,Female,10000,51-60,Alto
5485547638990526,55024,39,Male,900,31-40,Bajo
5544016002939278,55988,61,Female,200,60+,Bajo
5517185189122314,55792,22,Male,7200,18-30,Medio
5260801451077338,55280,22,Female,1900,18-30,Bajo
5174222170073547,55988,47,Male,3900,41-50,Bajo
5496867548612292,55658,22,Male,7000,18-30,Medio
5578478739568581,55954,69,Female,10000,60+,Alto
5583319892315662,55564,26,Female,1700,18-30,Bajo
5107483717458425,55242,38,Male,5800,31-40,Medio
5355816056150856,55962,72,Female,700,60+,Bajo
5100965390799833,55480,59,Female,6900,51-60,Medio
5225332187656355,55106,90,Male,6700,60+,Medio
5346880552647924,55573,59,Female,1600,51-60,Bajo
5158356164158326,55192,51,Female,1700,51-60,Bajo
5315812039780413,55895,49,Male,8900,41-50,Alto
5571184741624712,55157,31,Male,2500,31-40,Bajo
5178814721437845,55502,78,Female,600,60+,Bajo
5263027077377764,55720,43,Male,3100,41-50,Bajo
5472910759966607,55496,46,Male,3500,41-50,Bajo
5587903235325102,55185,89,Female,300,60+,Bajo
5376972748732513,55559,79,Male,500,60+,Bajo
5522516496733760,55481,65,Male,7500,60+,Medio
5472934805042726,55236,48,Female,6900,41-50,Medio
5120640177284376,55380,73,Female,9800,60+,Alto
5139078145538079,55132,69,Female,7800,60+,Medio
5416955508422286,55419,94,Female,8000,60+,Alto
5379271274278216,55354,93,Male,2300,60+,Bajo
5430152510007055,55991,67,Female,1300,60+,Bajo
5202629919833278,55740,87,Male,8600,60+,Alto
5424531850687279,55574,53,Male,1400,51-60,Bajo
5388817649920111,55937,84,Male,9300,60+,Alto
5186771899650577,55594,60,Male,2500,51-60,Bajo
5256081868290354,55780,48,Male,8100,41-50,Alto
5229750212466787,55245,22,Male,1600,18-30,Bajo
5272830833146350,55533,50,Male,9000,41-50,Alto
5117523434469136,55215,64,Female,4800,60+,Bajo
5271979050959689,55287,98,Male,9200,60+,Alto
5166720509837326,55082,41,Male,7000,41-50,Medio
5517848916594168,55743,40,Female,100,31-40,Bajo
5409982988548157,55530,46,Female,1900,41-50,Bajo
5263425963367990,55232,23,Female,5200,18-30,Medio
5220861768672907,55915,41,Female,5300,41-50,Medio
5201908229361076,55925,72,Male,8300,60+,Alto
5223469657257090,55207,60,Female,8700,51-60,Alto
5245379555507187,55811,26,Female,7100,18-30,Medio
5114287930325373,55675,94,Male,4000,60+,Bajo
5244472376214199,55261,68,Female,9000,60+,Alto
5392506517809647,55941,64,Male,7200,60+,Medio
5168574971009346,55725,29,Female,7500,18-30,Medio
5578581446370835,55879,79,Female,8500,60+,Alto
5581566661140877,55620,23,Female,3900,18-30,Bajo
5431376382412296,55381,94,Male,200,60+,Bajo
5343497578393426,55127,21,Male,5000,18-30,Medio
5172497348316794,55362,43,Female,8500,41-50,Alto
5124433830674407,55609,49,Female,500,41-50,Bajo
5336612925053783,55072,100,Female,1100,60+,Bajo
5365578091903396,55674,36,Female,7600,31-40,Medio
5162384492362687,55140,69,Female,9800,60+,Alto
5407119200524540,55131,25,Female,100,18-30,Bajo
5586038765661427,55376,62,Male,1100,60+,Bajo
5546606807315837,55239,69,Female,9000,60+,Alto
5537897915945695,55758,97,Female,1000,60+,Bajo
5166844106846355,55238,76,Male,1000,60+,Bajo
5429537833008942,55554,63,Female,900,60+,Bajo
5342898921051036,55533,56,Female,8500,51-60,Alto
5548930946405822,55365,64,Female,6400,60+,Medio
5281711783031900,55235,35,Male,1200,31-40,Bajo
5266324956216701,55799,19,Female,9900,18-30,Alto
5428075710148342,55620,23,Male,8300,18-30,Alto
5590520036687517,55349,59,Female,1500,51-60,Bajo
5432457888412409,55667,36,Female,6700,31-40,Medio
5520933266210683,55259,62,Male,8200,60+,Alto
5349732155676635,55849,59,Female,1800,51-60,Bajo
5502675265411976,55583,49,Female,800,41-50,Bajo
5253300225949632,55633,80,Male,1300,60+,Bajo
5143418610359201,55818,73,Male,9600,60+,Alto
5139873882144085,55724,95,Female,8000,60+,Alto
5263773569024352,55367,61,Female,3900,60+,Bajo
5241828170181442,55549,20,Female,8300,18-30,Alto
5333389289726501,55160,51,Male,8300,51-60,Alto
5504946112285097,55402,22,Female,7400,18-30,Medio
5284533637947728,55100,33,Female,8000,31-40,Alto
5436825534488724,55750,44,Female,9900,41-50,Alto
5490274258970323,55167,85,Male,1200,60+,Bajo
5566506761343186,55980,38,Male,9300,31-40,Alto
5199189366496405,55741,90,Male,7700,60+,Medio
5384229270230527,55932,75,Male,8600,60+,Alto
5361074504567634,55732,94,Male,9000,60+,Alto
5516155027468865,55887,83,Female,6700,60+,Medio
5568897603763030,55257,47,Female,1600,41-50,Bajo
5595458427270533,55954,46,Female,7100,41-50,Medio
5552419934237572,55726,89,Male,8500,60+,Alto
5280153208366556,55276,21,Female,4500,18-30,Bajo
5445533485816534,55170,43,Male,4100,41-50,Bajo
5447967726041569,55555,31,Female,9200,31-40,Alto
5428883012197994,55884,91,Female,2900,60+,Bajo
5133669132778680,55177,22,Female,2800,18-30,Bajo
5231273886645145,55366,35,Male,7800,31-40,Medio
5368704533198398,55480,67,Male,2300,60+,Bajo
5397589971206893,55607,49,Female,2400,41-50,Bajo
5409925644472759,55364,55,Female,6200,51-60,Medio
5495924028274589,55803,32,Female,7600,31-40,Medio
5495672886340592,55291,20,Female,8100,18-30,Alto
5572777951322395,55654,34,Female,9000,31-40,Alto
5296829429235397,55282,87,Female,3800,60+,Bajo
5565954015763034,55758,86,Female,3500,60+,Bajo
5255738196108811,55507,32,Female,1100,31-40,Bajo
5377266799869905,55067,78,Female,3800,60+,Bajo
5199564852563506,55012,90,Female,4000,60+,Bajo
5249655125957903,55699,40,Female,1500,31-40,Bajo
5308539898651240,55418,72,Female,1900,60+,Bajo
5497082047680373,55610,82,Female,800,60+,Bajo
5131509673119203,55666,70,Female,8400,60+,Alto
5283348529349482,55875,32,Female,1800,31-40,Bajo
5275453922220429,55180,94,Female,4300,60+,Bajo
5544291049607929,55139,81,Male,8000,60+,Alto
5143572918021788,55472,83,Female,7200,60+,Medio
5129949135437872,55932,21,Male,6700,18-30,Medio
5221654176512800,55395,88,Female,2800,60+,Bajo
5315070981069133,55558,72,Male,3500,60+,Bajo
5443009884622932,55572,27,Female,5400,18-30,Medio
5397630273859615,55947,27,Male,9900,18-30,Alto
5581837487369192,55956,94,Female,2800,60+,Bajo
5428795476048390,55820,54,Male,4600,51-60,Bajo
5282943235332920,55665,88,Male,3500,60+,Bajo
5522403426739680,55393,62,Female,2600,60+,Bajo
5209801231663443,55300,86,Male,3700,60+,Bajo
5284597540822641,55765,94,Male,8900,60+,Alto
5170289421610868,55187,79,Female,4000,60+,Bajo
5384316285624321,55599,92,Male,1800,60+,Bajo
